year,month,quarter,trend,month_sin,month_cos,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,date,target_sales
2015,12,4,23,-2.4492935982947064e-16,1.0,75972.5635,31404.9235,64595.918,24797.292,69545.6205,57324.46833333333,23156.513532558183,43739.05903333333,21241.17260589464,38763.21735833333,20427.709631457452,2015-12-01,74919.5212
2016,1,1,24,0.49999999999999994,0.8660254037844387,74919.5212,75972.5635,31404.9235,28765.325,18174.0756,60765.669400000006,25432.60258751889,52092.7639,22138.93150516836,39211.04241666666,21207.88859573229,2016-01-01,18542.490999999998
2016,2,1,25,0.8660254037844386,0.5000000000000001,18542.490999999998,74919.5212,75972.5635,36898.3322,11951.411,56478.191900000005,32857.4995488411,50388.95823333333,24554.816735155364,39241.7437,21174.907232964528,2016-02-01,22978.815000000002
2016,3,1,26,1.0,6.123233995736766e-17,22978.815000000002,18542.490999999998,74919.5212,64595.918,38726.252,38813.609066666664,31347.21536106891,48069.0387,26652.286678403707,40160.69403333333,20094.61848812033,2016-03-01,51715.875
2016,4,2,27,0.8660254037844387,-0.4999999999999998,51715.875,22978.815000000002,18542.490999999998,31404.9235,34195.2085,31079.06033333333,18009.13191544793,45922.36486666667,25550.868283723743,41243.16261666667,20358.45667135262,2016-04-01,38750.039
2016,5,2,28,0.49999999999999994,-0.8660254037844387,38750.039,51715.875,22978.815000000002,75972.5635,30131.6865,37814.90966666667,14391.334354862489,47146.55078333334,24883.443161317773,41622.731824999995,20257.316238748106,2016-05-01,56987.728
2016,6,2,29,1.2246467991473532e-16,-1.0,56987.728,38750.039,51715.875,74919.5212,24797.292,49151.214,9385.437632250882,43982.41153333333,21455.85148401586,43860.735283333335,20355.661585026905,2016-06-01,40344.534
2016,7,3,30,-0.4999999999999997,-0.8660254037844388,40344.534,56987.728,38750.039,18542.490999999998,28765.325,45360.76699999999,10100.755919627849,38219.91366666667,15222.739063393761,45156.33878333333,19509.177990937875,2016-07-01,39261.963
2016,8,3,31,-0.8660254037844385,-0.5000000000000004,39261.963,40344.534,56987.728,22978.815000000002,36898.3322,45531.40833333333,9936.218356152925,41673.15899999999,11840.560856464477,46031.05861666667,18934.3002854388,2016-08-01,31115.3743
2016,9,3,32,-1.0,-1.8369701987210297e-16,31115.3743,39261.963,40344.534,51715.875,64595.918,36907.290433333335,5045.0678255287585,43029.25221666666,9507.352883801843,45549.14545833333,19258.69122244793,2016-09-01,73410.0249
2016,10,4,33,-0.8660254037844386,0.5000000000000001,73410.0249,31115.3743,39261.963,38750.039,31404.9235,47929.12073333334,22439.899392040064,46644.94386666666,15627.177423289499,46283.65436666666,20196.4085074315,2016-10-01,59687.745
2016,11,4,34,-0.5000000000000004,0.8660254037844384,59687.745,73410.0249,31115.3743,56987.728,75972.5635,54737.714733333334,21577.452747595285,50134.56153333333,15847.800610101936,48640.55615833334,19951.024725167616,2016-11-01,79411.9658
2016,12,4,35,-2.4492935982947064e-16,1.0,79411.9658,59687.745,73410.0249,40344.534,74919.5212,70836.57856666668,10110.795768123213,53871.9345,19910.583571105588,48927.17301666667,20399.04743487996,2016-12-01,96999.043
2017,1,1,36,0.49999999999999994,0.8660254037844387,96999.043,79411.9658,59687.745,39261.963,18542.490999999998,78699.5846,18665.847284326155,63314.352666666666,24996.631969079717,50767.13316666667,23687.375959134333,2017-01-01,43971.374
2017,2,1,37,0.8660254037844386,0.5000000000000001,43971.374,96999.043,79411.9658,31115.3743,22978.815000000002,73460.79426666668,27010.104625079817,64099.25450000001,24149.927530666504,52886.206750000005,21586.777694997745,2017-02-01,20301.1334
2017,3,1,38,1.0,6.123233995736766e-17,20301.1334,43971.374,96999.043,73410.0249,51715.875,53757.18346666667,39274.21398883586,62296.88101666667,27301.804909141058,52663.06661666667,21935.061409644106,2017-03-01,58872.3528
2017,4,2,39,0.8660254037844387,-0.4999999999999998,58872.3528,20301.1334,43971.374,59687.745,38750.039,41048.286733333334,19451.042925178735,59873.935666666664,26757.967777858434,53259.43976666667,22004.144736085927,2017-04-01,36521.5361
2017,5,2,40,0.49999999999999994,-0.8660254037844387,36521.5361,58872.3528,20301.1334,79411.9658,56987.728,38565.00743333333,19366.635557534264,56012.90085,28410.55633889762,53073.73119166667,22146.67448395669,2017-05-01,44261.1102
2017,6,2,41,1.2246467991473532e-16,-1.0,44261.1102,36521.5361,58872.3528,96999.043,40344.534,46551.666366666665,11350.098565816104,50154.42491666667,26155.13891688137,52013.17970833334,22246.701046596947,2017-06-01,52981.7257
2017,7,3,42,-0.4999999999999997,-0.8660254037844388,52981.7257,44261.1102,36521.5361,43971.374,39261.963,44588.124,8234.96593411472,42818.20536666667,13498.971378872351,53066.27901666667,21941.130643064073,2017-07-01,45264.416
2017,8,3,43,-0.8660254037844385,-0.5000000000000004,45264.416,52981.7257,44261.1102,20301.1334,31115.3743,47502.4173,4771.663340891868,43033.71236666667,13531.34605574412,53566.48343333332,21664.492997440124,2017-08-01,63120.888
2017,9,3,44,-1.0,-1.8369701987210297e-16,63120.888,45264.416,52981.7257,58872.3528,73410.0249,53789.009900000005,8955.566922667333,50170.33813333333,9966.168219024308,56233.609575,20592.859371939878,2017-09-01,87866.652
2017,10,4,45,-0.8660254037844386,0.5000000000000001,87866.652,63120.888,45264.416,36521.5361,59687.745,65417.318666666666,21393.756645456855,55002.72133333333,18448.837363774237,57438.3285,22059.688421156006,2017-10-01,77776.9232
2017,11,4,46,-0.5000000000000004,0.8660254037844384,77776.9232,87866.652,63120.888,44261.1102,79411.9658,76254.82106666667,12442.901798380773,61878.619183333336,17861.916111929644,58945.76001666667,22831.912969021003,2017-11-01,118447.825
2017,12,4,47,-2.4492935982947064e-16,1.0,118447.825,77776.9232,87866.652,52981.7257,96999.043,94697.1334,21178.342013083085,74243.07165000001,26712.021829490426,62198.74828333333,28169.78670689682,2017-12-01,83829.3188
